city_name,Temperature,Humidity,Cloudiness,Wind_Speed,longitude,latitude
chipinge,17.11,91,24,1.16,32.62,-20.19
lagoa,11,93,75,2.1,-8.45,37.14
constitucion,7,26,75,1.5,-104.67,23.99
barcelona,11.5,76,20,3.6,2.18,41.38
jumla,-8.67,52,0,1.76,82.18,29.28
kupang,32,59,75,5.1,123.6,-10.16
vila do maio,23,78,75,7.7,-23.22,15.13
gladstone,24,88,40,3.1,151.26,-23.84
ahipara,22.09,74,68,2.51,173.16,-35.17
caravelas,26.14,100,0,5.81,-39.27,-17.73
burgeo,1.74,100,36,13.76,-57.61,47.61
east london,21,94,75,1.5,27.91,-33.02
san patricio,24.59,96,56,1.11,-56.83,-26.98
vanderhoof,-2.02,64,88,4.16,-124.02,54.02
cidreira,22.19,91,64,4.41,-50.22,-30.17
sobolevo,-5.14,94,80,3.56,31.9,54.43
deniliquin,24.11,58,8,5.21,144.96,-35.53
jambi,30.54,71,12,1.66,103.62,-1.6
port elizabeth,9.61,100,90,8.7,-74.98,39.31
nehe,-10.94,60,0,3.46,124.88,48.48
bull savanna,23.54,81,68,2.71,-77.59,17.89
khatanga,-20.94,84,44,5.01,102.47,71.98
den helder,1.04,100,90,7.2,4.76,52.96
zhigansk,-21.39,73,68,4.36,123.37,66.77
vanimo,27.71,100,64,2.96,141.3,-2.67
haines junction,-25.72,75,56,0.96,-137.51,60.75
mahebourg,27,65,40,7.2,57.7,-20.41
longyearbyen,-7,67,75,7.2,15.63,78.22
trelew,25.11,31,0,7.06,-65.31,-43.25
ouallam,17.94,35,0,5.01,2.08,14.32
broken hill,28,30,0,6.2,141.45,-31.97
mount gambier,24,57,75,2.6,140.78,-37.83
khasan,2.19,100,80,2.51,130.64,42.43
boa vista,26,57,0,4.1,-60.67,2.82
kuusamo,-4,85,90,4.1,29.19,65.96
kangaatsiaq,-9.22,100,8,4.41,-53.46,68.31
torbay,0,100,90,11.3,-52.73,47.66
tiksi,-24.94,59,48,1.76,128.87,71.64
umm lajj,18.24,100,0,2.51,37.27,25.02
siniscola,5,93,0,1,9.69,40.57
copparo,-1,74,0,1.5,11.82,44.89
moron,18.64,95,44,1.16,-68.2,10.49
loikaw,21.21,85,0,1.36,97.21,19.67
lolua,,,,,,
murgab,3,93,0,2.1,61.97,37.5
ewa beach,24.96,54,1,5.7,-158.01,21.32
chifeng,-4.64,41,0,2.76,118.96,42.27
charters towers,23.29,100,100,4.46,146.27,-20.07
tasiilaq,1,59,80,8.2,-37.64,65.61
catende,17.86,95,0,2.06,-35.73,-8.67
hobyo,25.06,81,0,8.01,48.53,5.35
victoria,30,74,75,2.6,115.24,5.28
ostrovnoy,-12.32,96,0,5.66,39.51,68.05
belawan,28.21,83,76,1.21,114.46,-0.59
oranjemund,16.31,93,0,8.51,16.43,-28.55
codrington,26.33,74,90,6.7,153.24,-28.95
richards bay,21.71,95,0,1.36,32.06,-28.77
ukiah,12.2,86,90,4.6,-123.21,39.15
mau,13.46,81,0,1.31,83.57,25.94
hovd,-0.52,98,0,13.9,10.7,63.83
paamiut,-1.32,98,0,1.41,-49.67,61.99
santander,30,74,40,6.2,123.33,9.42
tayoltita,15.81,33,36,0.71,-105.93,24.11
chihuahua,7,45,75,1.31,-106.08,28.66
danielskuil,15.29,57,48,1.31,23.54,-28.19
hami,-16.12,53,0,1.66,93.51,42.84
endicott,0.9,91,1,2.6,-76.05,42.1
meulaboh,27.31,100,44,1.56,96.13,4.14
alice springs,35,11,0,3.1,133.88,-23.7
tsihombe,,,,,,
ulaanbaatar,-17,77,0,2.96,106.92,47.92
ruatoria,,,,,,
hilo,24.4,64,90,3.1,-155.08,19.71
gazojak,-1.87,96,80,1.66,61.4,41.19
port hardy,6,87,90,14.4,-127.42,50.7
attawapiskat,,,,,,
kailua,24.96,52,20,6.7,-157.74,21.39
college,-24.09,80,75,1.46,-147.8,64.86
takapau,21.19,71,0,2.66,176.35,-40.02
mariental,-3.67,87,12,5.56,10.99,52.28
christchurch,19,68,0,5.7,172.64,-43.53
nioro,22.29,37,68,4.36,-15.05,13.79
sahrak,,,,,,
soc trang,29,74,40,3.1,105.98,9.6
paciran,28.19,89,92,2.56,112.33,-6.9
biak,30.46,78,44,1.21,122.88,-0.91
lumeje,18.31,99,88,1.76,20.78,-11.56
vao,-14.67,93,20,1.66,26.19,59.1
le port,-1.12,93,56,0.71,1.37,42.87
puerto colombia,27,83,20,7.2,-74.96,10.99
puerto leguizamo,23.34,95,24,1.06,-74.78,-0.19
cayenne,25,83,90,3.61,-52.33,4.94
bambous virieux,27,65,40,7.2,57.76,-20.34
magnitogorsk,-6,85,90,2.16,58.98,53.42
makakilo city,24.97,54,1,5.7,-158.09,21.35
alyangula,34,59,0,3.1,136.42,-13.85
manturovo,-13.92,87,36,1.21,44.76,58.33
sarangani,28.11,99,88,1.86,125.46,5.4
komsomolskiy,0.79,97,92,8.76,63.78,67.55
progreso,16,77,0,1.5,-56.22,-34.68
areosa,12.7,100,90,1.5,-8.86,41.72
luanda,24,83,75,1.46,13.24,-8.83
mount pleasant,8.82,64,1,2.6,-94.97,33.16
strongsville,4.56,82,90,11.3,-81.84,41.31
bima,28.46,87,76,0.61,118.73,-8.45
lodwar,18.99,75,0,0.51,35.6,3.12
vila franca do campo,15,67,40,3.1,-25.43,37.72
onda,12.49,62,0,6.2,-0.26,39.96
aden,25.86,100,88,5.71,45.03,12.79
worland,0.24,58,40,1.5,-107.96,44.02
port-cartier,-1,63,75,2.1,-66.88,50.03
novikovo,-0.87,100,68,2.36,34.56,45.05
yellowknife,-26,75,20,3.1,-114.38,62.45
elko,-2.2,65,1,2.1,-115.76,40.83
point fortin,24,83,20,5.46,-61.68,10.16
ekpoma,20.44,88,0,1.56,6.14,6.74
pulandian,6,65,0,5,121.96,39.4
bargal,,,,,,
haverfordwest,9,81,68,6.7,-4.97,51.8
bethel,-25.8,82,40,2.06,-161.76,60.79
urucara,23.44,95,44,0.96,-57.76,-2.54
labuhan,26.81,85,88,1.41,115.51,-2.54
mandera,17.84,48,0,1.11,41.86,3.94
cabo san lucas,20.44,68,90,1,-109.91,22.89
mackenzie,-11,85,75,0.96,-123.09,55.34
margate,26,61,40,4.6,147.26,-43.03
necochea,19.94,42,0,6.71,-58.74,-38.55
haibowan,,,,,,
iqaluit,-14,84,20,2.6,-68.52,63.75
juigalpa,24.56,80,44,5.81,-85.37,12.1
havelock,14.47,100,75,1.5,-76.9,34.88
quatre cocos,27,65,40,7.2,57.76,-20.21
lakhipur,16.99,81,92,2.31,90.3,26.03
louisbourg,,,,,,
aksu,-10,92,0,2,76.93,52.04
jega,18.81,43,0,4.06,4.38,12.22
gazli,0.74,86,88,1.91,63.45,40.13
ixtapa,23,83,5,2.1,-105.21,20.71
sinkat,,,,,,
saint-philippe,-0.68,100,1,1.5,-73.48,45.36
tiznit,12.21,86,0,2.41,-9.73,29.7
santander jimenez,6.79,48,0,1.06,-98.47,24.22
adeje,24.49,90,0,3.51,5.76,5.68
kalmunai,25.59,91,68,4.91,81.82,7.42
sarti,13.14,100,92,5.91,23.98,40.1
copiapo,14,87,0,3.6,-70.33,-27.37
ballina,6.36,95,36,5.21,-9.15,54.11
hays,0.62,60,1,2.1,-99.33,38.88
palabuhanratu,,,,,,
batagay-alyta,-32.64,37,56,0.41,130.41,67.8
yumen,-6.29,61,0,5.21,97.04,40.29
faya,12,81,0,2.51,42.45,18.39
katsuura,8.55,70,75,1,134.5,33.93
taebla,-10.94,88,68,3.91,23.74,58.95
rio grande,19.71,93,92,4.36,-52.1,-32.03
otradnoye,-7,92,90,3,30.8,59.77
samarai,31.11,97,20,2.61,150.67,-10.62
kauhajoki,-7,92,90,1.5,22.18,62.43
emba,16,55,0,3.6,32.42,34.81
pevek,-34.39,100,0,2.46,170.27,69.7
kaitangata,18.54,80,0,3.11,169.85,-46.28
amderma,,,,,,
veraval,,,,,,
saskylakh,-30.79,34,32,1.31,114.09,71.97
broome,5.23,93,68,3.6,1.45,52.47
leningradskiy,-23.89,100,12,1.21,178.42,69.38
uray,-8.72,88,80,2.46,64.8,60.13
boguchany,-15.72,62,12,1.46,97.46,58.38
nyaunglebin,27.71,76,8,1.86,96.73,17.95
kruisfontein,17.11,89,0,2.66,24.73,-34.0
rio cauto,24,94,0,2.6,-76.92,20.56
pedernales,23.31,96,88,1.51,-80.05,0.07
newport,7.24,93,36,5.1,-3.0,51.59
khilok,-8.22,53,64,4.81,110.46,51.36
boueni,28,78,0,2.1,45.08,-12.9
avera,8.68,93,1,2.1,-82.53,33.19
luau,19.14,98,92,0.61,22.23,-10.7
villamaria,18.46,98,92,0.41,-77.18,1.6
esperance,24,83,20,2.66,-61.45,10.24
amapa,21,77,75,1.01,-87.97,15.09
goderich,0.44,87,80,5.36,-81.71,43.74
ostersund,-7,92,0,2.1,14.64,63.18
kuching,30,74,75,1.5,110.34,1.56
fort nelson,-23,76,5,1.5,-122.69,58.81
mamallapuram,26,78,75,5.1,80.17,12.63
presidencia roque saenz pena,24.89,93,88,4.01,-60.44,-26.79
lubbock,6.91,32,75,6.2,-101.86,33.58
civitanova marche,4.29,100,0,4.11,13.72,43.31
kawambwa,17.99,100,92,0.96,29.07,-9.8
braslav,,,,,,
meadow lake,-5.29,74,0,7.16,-108.44,54.13
bourges,6.62,100,90,4.6,2.4,47.08
port-gentil,26.44,100,80,3.91,8.78,-0.72
manavalakurichi,27,74,20,1.5,77.3,8.13
cartagena,10,81,0,3.1,-1.0,37.63
zhezkazgan,-3,92,90,4,67.71,47.8
wanning,-8,92,0,0.5,13.53,48.64
kaeo,23.81,58,0,4.86,173.78,-35.1
mayo,-24,83,40,2.6,-135.9,63.59
karaul,,,,,,
west richland,4.75,67,1,3.6,-119.35,46.3
ilinskiy,-12.8,85,90,2,38.12,55.62
wankaner,18,48,75,1.5,70.95,22.62
derzhavinsk,-12.39,82,68,3.86,66.31,51.1
along,14.06,44,0,0.91,94.8,28.17
pandan,26.44,100,80,8.81,122.09,11.72
malakal,,,,,,
svetlogorsk,-6,85,90,1.31,59.15,53.14
inhambane,25,88,40,2.1,35.38,-23.87
kodiak,2.76,15,1,2.1,-94.76,39.95
lokosovo,-5.29,91,88,3.46,74.84,61.13
baiyin,-2,54,0,1,104.13,36.55
gambiran,27.86,74,68,1.76,111.77,-7.93
hofn,3.94,100,92,6.46,-15.21,64.25
ust-kut,-9.44,61,56,4.46,105.75,56.78
koumac,28.61,61,64,3.11,164.28,-20.56
salinopolis,25.04,100,80,2.76,-47.36,-0.61
beloha,25.39,64,0,5.41,45.06,-25.17
stilfontein,15.59,83,36,2.11,26.78,-26.84
sinnar,15.31,61,0,3.36,74.0,19.85
madanapalle,20.34,67,12,3.91,78.5,13.56
kyabram,21.21,77,80,5.16,145.05,-36.31
beringovskiy,-26.54,100,24,5.21,179.32,63.05
prince albert,-2,58,5,10.3,-105.75,53.2
laguna,13.61,68,88,0.96,-110.01,27.52
medina del campo,9,87,92,7.7,-4.92,41.31
champerico,18,68,75,5.7,-93.6,16.38
aleksandrov gay,-2.77,93,44,7.21,48.57,50.14
evensk,-15.37,100,88,3.46,159.24,61.92
sept-iles,-1,63,75,2.1,-66.38,50.2
kastron,,,,,,
la crosse,-3.86,81,1,2.6,-91.24,43.8
sulingen,-1.25,80,0,6.7,8.8,52.68
kodinsk,-16.27,56,8,2.11,99.18,58.6
lamu,27.94,87,36,0.61,122.3,0.57
menongue,26.31,34,92,2.41,17.68,-14.66
jalu,8.31,54,20,3.71,21.55,29.03
coquimbo,15,87,0,1.5,-71.34,-29.95
saint-joseph,5,93,90,0.5,6.97,43.56
yendi,19.44,50,0,2.76,0.0,9.45
llanes,7.74,99,100,0.06,-4.75,43.42
salalah,23,56,20,5.1,54.1,17.01
katherine,35,47,8,3.6,132.26,-14.47
paka,-1,92,90,6.2,18.06,45.29
alofi,24,94,92,2.1,-169.92,-19.06
uvalde,6.34,70,1,1.51,-99.79,29.21
samusu,,,,,,
hirara,24,60,75,4.1,125.28,24.8
itupiranga,25,94,0,1,-49.33,-5.13
ketchikan,4.44,79,90,10.3,-131.65,55.34
mandalgovi,-14.64,64,0,4.71,106.27,45.76
pontianak,30,74,75,1.96,109.34,-0.02
bonavista,-0.54,100,64,11.26,-53.11,48.65
minot,3.89,64,1,11.3,-101.3,48.23
samana,23.34,93,32,0.76,-76.97,0.12
acapulco,25,88,5,2.36,-99.88,16.86
mudyuga,,,,,,
kysyl-syr,-20.94,83,44,2.86,122.77,63.9
ati,16.09,55,0,1.71,18.34,13.21
guaraniacu,20.79,97,64,1.46,-52.88,-25.1
ancud,13,100,90,6.7,-73.83,-41.87
sitka,2.64,42,44,4.11,-99.65,37.17
esik,1,74,75,6,77.47,43.36
alugan,26.19,100,88,4.81,125.48,12.22
half moon bay,13.71,59,20,5.26,-122.43,37.46
havre-saint-pierre,-4,79,75,5.1,-63.6,50.23
puyang,7.84,39,0,3.46,115.02,35.76
viligili,,,,,,
semey,-5,73,0,4,80.25,50.41
kalmar,2,100,88,2.6,16.36,56.66
fortuna,11,71,0,4.1,-1.13,38.18
luderitz,14.69,75,0,6.46,15.16,-26.65
ipojuca,26,74,40,4.1,-35.06,-8.4
kropotkin,-4.17,95,68,3.91,40.58,45.43
dvinskoy,-8.04,89,88,2.01,45.12,62.16
poum,4,93,75,1,20.71,41.28
husavik,1.89,92,80,7.56,-96.99,50.56
padang,30,70,12,1.5,100.36,-0.92
mocajuba,23.46,96,88,1.06,-49.5,-2.58
presidente medici,22.86,96,20,0.51,-61.9,-11.18
monteagudo,15.24,100,92,1.06,-63.96,-19.8
kantang,25,94,40,2.6,99.52,7.42
gat,25,20,0,5.7,-16.54,14.69
nanortalik,-2.72,92,88,1.46,-45.24,60.14
mikhaylovskoye,0,88,90,1,44.64,43.1
high prairie,-10.62,66,0,1.66,-116.48,55.43
laje,22.14,86,88,2.61,-39.42,-13.18
dunedin,17.99,84,44,1.86,170.5,-45.87
nizhneangarsk,-12.27,80,48,2.06,109.57,55.78
road town,25.6,73,1,3.6,-64.62,18.42
iguape,24.09,100,76,3.31,-47.56,-24.7
panguipulli,14,87,90,1.5,-72.33,-39.64
illora,1,74,0,0.56,-3.88,37.29
wynyard,-3.82,86,0,8.96,-104.18,51.77
olafsvik,,,,,,
bengkulu,,,,,,
sao geraldo do araguaia,24.44,87,32,3.46,-48.55,-6.4
sarai sidhu,6,93,0,1.26,71.97,30.59
vila,-0.5,87,75,1,8.4,45.18
yarkovo,-13,84,0,4,82.6,54.81
gigmoto,26.09,100,92,7.06,124.39,13.78
naranjal,24,88,0,1.16,-55.19,-25.97
ambajogai,15.64,67,0,4.76,76.39,18.73
mayachnyy,-11.89,79,80,2.51,55.69,52.68
grand river south east,,,,,,
ginda,10,71,0,1.5,78.49,30.69
dawei,27.86,55,0,3.36,98.19,14.07
mocambique,,,,,,
villa del rosario,28,58,40,4.1,-72.47,7.83
amahai,27.49,100,64,3.41,129.0,-3.31
imeni poliny osipenko,-20.79,83,64,1.76,136.49,52.42
gaoual,18.64,44,44,2.66,-13.2,11.75
green river,-2.8,60,1,5.1,-109.47,41.53
erenhot,-10.94,55,0,6.51,111.97,43.65
armacao dos buzios,,,,,,
chincha alta,20,82,40,6.2,-76.13,-13.42
fukue,8,52,75,2.6,136.69,35.03
itarema,22.61,99,76,0.81,-39.92,-2.92
toliary,,,,,,
mount isa,37,20,0,3.1,139.49,-20.73
ereymentau,-8.54,89,92,3.06,73.1,51.62
santa maria,22.94,87,80,4.66,-53.81,-29.69
manokwari,27.71,100,48,2.31,134.08,-0.87
kamenka,-8.62,87,76,3.11,44.05,53.19
kloulklubed,30,70,75,5.7,134.26,7.04
severo-yeniseyskiy,-20.54,79,24,1.06,93.04,60.37
tura,16.99,81,92,2.31,90.21,25.52
warqla,,,,,,
asau,,,,,,
xining,-4.04,29,0,2.71,101.77,36.62
vardo,8.33,96,90,6.2,-77.74,39.62
bone,32,59,75,5.1,123.57,-10.32
pasighat,16.31,39,0,0.96,95.33,28.06
southbridge,3.59,67,90,2.6,-72.03,42.08
rosario,16.39,75,0,2.11,-57.35,-34.31
moose factory,0,79,1,7.7,-80.61,51.26
chagda,,,,,,
vilyuysk,-17.47,82,48,1.56,121.63,63.75
talnakh,-20.12,90,68,4.66,88.39,69.49
baza,-1.17,78,0,1.06,-2.77,37.49
daru,18.59,71,8,1.06,-10.85,7.99
narsaq,-9.02,63,80,1.61,-46.05,60.91
zabid,2.61,78,0,1.61,44.5,14.2
hefei,8,64,0,6,117.22,31.82
wagga wagga,26,41,40,6.7,147.37,-35.12
mogadishu,27.11,99,20,9.61,45.34,2.04
pampa,6.21,47,1,2.1,-100.96,35.54
tandil,18.21,49,8,5.76,-59.14,-37.33
korem,1.99,82,0,0.56,39.52,12.51
vieques,25,81,1,3.6,-65.83,18.43
noumea,30,48,75,8.2,166.46,-22.28
sakaiminato,12,46,90,5.7,133.23,35.55
sao felix do xingu,22.64,98,68,0.91,-51.99,-6.64
bubaque,26.74,100,0,9.61,-15.83,11.28
suzzara,-1.29,86,0,2.6,10.74,44.99
poninka,-5.27,90,88,6.11,27.56,50.19
porto novo,23,78,0,1,-45.44,-23.68
perm,-9,92,90,2,56.25,58.02
andenes,,,,,,
mana,-3.85,92,92,2.6,20.24,43.52
tabiauea,,,,,,
lavrentiya,-12.54,100,64,7.36,-170.99,65.58
ellisras,18.84,61,12,2.76,27.74,-23.67
comodoro rivadavia,21,37,75,16.5,-67.48,-45.87
mehamn,-7.37,100,0,2.06,27.85,71.03
yaan,19.21,79,0,1.31,8.57,7.38
rawson,25.11,31,0,7.06,-65.11,-43.3
calama,13,37,0,1.5,-68.93,-22.46
pestretsy,-11,85,90,4,49.66,55.75
dapaong,18.96,42,0,3.26,0.2,10.86
salo,-3,86,76,3.1,23.13,60.38
shubarkuduk,-0.47,96,88,3.66,56.49,49.15
bafra,,,,,,
russell,11.69,62,0,1.66,-68.8,-33.01
huizen,0.01,90,75,6.7,5.26,52.3
ugoofaaru,26.94,100,8,0.91,73.0,5.67
itoman,23.78,53,20,4.1,127.67,26.12
roald,1.48,44,0,8.2,6.12,62.58
aketi,23.54,85,20,1.31,23.78,2.74
meyungs,,,,,,
vityazevo,0,100,36,12,37.26,44.99
san cristobal,14,100,40,2.6,-78.55,-0.39
poya,25.79,92,76,9.31,165.16,-21.35
abeche,16.06,42,0,2.51,20.83,13.83
kirakira,29.89,100,56,4.76,161.92,-10.46
huarmey,17.74,85,80,1.41,-78.15,-10.07
yanam,21,68,90,10.31,82.22,16.73
vastse-kuuste,-6,92,48,3.1,26.93,58.17
marsabit,19.44,79,0,2.31,37.99,2.34
isla mujeres,19,82,20,2.1,-86.73,21.23
cloquet,3.34,40,1,6.7,-92.46,46.72
santa pola,10.9,71,0,4.1,-0.56,38.19
