city_name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
margate,-43.03,147.26,26,57,40,4.1
moose factory,51.26,-80.61,0,79,1,7.7
port lincoln,-34.72,135.86,19.21,89,48,4.81
cape town,-33.93,18.42,18,82,0,4.6
kaz,53.11,87.55,-6.04,73,80,1.16
upernavik,72.79,-56.15,-9.39,100,20,6.91
souillac,45.6,-0.6,8.13,93,90,1
hobart,-42.88,147.33,26,61,40,4.6
the valley,18.22,-63.06,25,83,75,8.2
kirra,38.43,22.45,9.39,100,32,1.61
new norfolk,-42.78,147.06,26,57,40,4.1
kaitangata,-46.28,169.85,18.54,80,0,3.11
platonovka,,,,,,
qaanaaq,77.48,-69.36,-25.92,85,0,5.36
artur nogueira,-22.57,-47.17,22,83,0,4.1
provideniya,64.42,-173.23,-16.39,100,8,2.71
liverpool,53.41,-2.98,5.46,81,76,3.1
faya,18.39,42.45,12,81,0,2.51
cap-chat,49.1,-66.68,-2.02,90,32,6.96
gigmoto,13.78,124.39,26.09,100,92,7.06
tallahassee,30.44,-84.28,10.44,93,75,2.01
lazarev,52.23,141.51,-13.42,83,48,2.01
lolua,,,,,,
okhotsk,59.36,143.24,-27.44,100,12,2.96
punta arenas,-53.16,-70.91,5,75,0,6.2
marienburg,52.12,9.98,-1.48,86,0,3.6
tsihombe,,,,,,
port alfred,-33.59,26.89,19.74,100,80,0.36
puerto ayora,-0.74,-90.35,23.71,98,80,4.51
mlonggo,-6.53,110.7,30,66,40,1.5
bethel,60.79,-161.76,-26.15,82,90,2.6
nianzishan,47.51,122.88,-8.64,60,0,3.86
capinopolis,-18.68,-49.57,21.06,90,12,0.66
newry,54.18,-6.34,5,86,20,5.7
mill valley,37.91,-122.55,12.64,93,90,3.66
hay river,60.82,-115.79,-24,76,20,3.1
kodiak,39.95,-94.76,1.46,92,1,1.31
yar-sale,66.83,70.83,-11.07,87,56,4.16
mujiayingzi,42.12,118.78,-4.64,41,0,2.76
port hedland,-20.31,118.58,31,48,0,11.3
mar del plata,-46.43,-67.52,19.84,43,20,13.21
carnarvon,-30.97,22.13,8.24,55,0,1.31
fortuna,38.18,-1.13,10.99,71,0,4.1
khatanga,71.98,102.47,-20.94,84,44,5.01
castro,-42.48,-73.76,13,100,90,6.2
thinadhoo,0.53,72.93,27.54,100,44,4.96
port hardy,50.7,-127.42,6,87,90,14.4
pisco,-13.71,-76.2,20,82,40,3.1
billings,45.79,-108.5,2.8,40,40,2.1
alofi,-19.06,-169.92,24,94,92,2.1
aden,12.79,45.03,25.86,100,88,5.71
huazolotitlan,,,,,,
vitim,59.44,112.57,-10.07,70,68,3.11
victoria,5.28,115.24,29.45,79,75,2.6
saskylakh,71.97,114.09,-30.79,34,32,1.31
chokurdakh,70.62,147.9,-39.27,0,36,1.36
lamu,0.57,122.3,27.94,87,36,0.61
marawi,8,124.29,21.79,98,92,1.31
geraldton,49.72,-86.95,0,63,20,4.6
japura,-0.42,102.29,30.04,70,20,1.31
ponta do sol,-20.63,-46,20.06,95,56,0.76
viseu,40.66,-7.91,14,100,75,2.1
nemuro,43.32,145.57,1,59,75,5.1
chuy,-33.69,-53.46,15.89,94,0,4.31
pacific grove,36.62,-121.92,11.32,77,1,2.1
balkanabat,39.51,54.36,0.06,94,20,1.81
namatanai,-3.66,152.44,30.89,91,0,4.16
changzhou,31.81,119.97,7.44,74,44,6.66
naryan-mar,67.67,53.09,0.84,94,92,9.66
mae hong son,19.3,97.96,24,69,20,1.5
dwarka,28.58,77.04,11.49,76,0,2.6
xiangxiang,27.73,112.52,5.99,100,92,2.01
ostrovnoy,68.05,39.51,-12.32,96,0,5.66
ancud,-41.87,-73.83,13,100,90,6.2
barrow,-38.31,-60.23,22.36,30,0,7.36
tuktoyaktuk,69.44,-133.03,-24,69,20,3.6
ambon,47.55,-2.56,7.72,100,48,1
narsaq,60.91,-46.05,-9.02,63,80,1.61
olafsvik,,,,,,
amderma,,,,,,
batagay-alyta,67.8,130.41,-32.64,37,56,0.41
avera,33.19,-82.53,8.54,97,1,2.1
honiara,-9.43,159.96,28.59,85,56,1.31
saint anthony,43.97,-111.68,-7.24,84,1,3.6
bathsheba,13.22,-59.52,26,69,20,10.3
waipawa,-39.94,176.59,21.19,71,0,2.66
bera,24.08,89.61,19.24,71,92,2.21
soanierana ivongo,-16.92,49.59,28,69,40,3.1
dhidhdhoo,6.88,73.1,26.89,100,12,0.91
bredasdorp,-34.53,20.04,20,82,68,5.01
hastings,-39.64,176.84,19.06,100,0,3.11
vaitupu,,,,,,
pangkalanbuun,-2.68,111.62,29.09,92,44,1.86
stephenville,32.22,-98.2,4.23,65,1,1.21
karavayevo,55.29,37.97,-11.51,92,75,2
illoqqortoormiut,,,,,,
camacupa,-12.02,17.48,18.11,95,56,1.76
grand river south east,,,,,,
tuatapere,-46.13,167.69,17.34,78,0,2.66
butaritari,3.07,172.79,28.59,100,56,3.36
bluff,-23.58,149.07,24.34,91,88,2.56
kirakira,-10.46,161.92,29.89,100,56,4.76
iqaluit,63.75,-68.52,-15,84,40,2.6
louisbourg,,,,,,
manzhouli,49.6,117.43,-13.64,77,0,4.21
itarema,-2.92,-39.92,22.61,99,76,0.81
guerrero negro,27.97,-114.04,15.36,90,88,2.96
oistins,13.07,-59.53,26,69,20,10.3
inhambane,-23.87,35.38,25,88,40,2.1
sambava,-14.27,50.17,25.29,100,80,6.81
ramos arizpe,25.54,-100.95,-0.12,50,0,1.01
lebu,8.96,38.73,9,61,0,1.5
yulara,-25.24,130.99,36,8,0,3.1
bambous virieux,-20.34,57.76,28,61,40,7.7
buckeye,33.37,-112.58,12.06,44,40,1.41
sebinkarahisar,40.29,38.42,-5.32,94,80,0.96
leland,41.61,-88.8,-0.09,94,1,2.6
zeya,53.74,127.27,-24.72,74,76,1.41
vila velha,-3.71,-38.6,27,78,75,5.1
tumannyy,,,,,,
constitucion,23.99,-104.67,7,26,75,1.5
longyearbyen,78.22,15.63,-8,61,75,6.2
kavieng,-2.57,150.8,30.69,99,48,2.41
qax,41.42,46.93,3,73,75,0.96
goulburn,-34.75,149.72,24.04,69,76,3.01
cherskiy,68.75,161.3,-37.39,66,20,1.06
harrison,39.26,-84.82,5.32,86,90,1.16
kenai,60.55,-151.26,-6.95,96,40,3.1
tautira,-17.73,-149.15,29,66,40,5.1
kawalu,-7.38,108.21,25.36,79,12,1.36
nouadhibou,20.93,-17.03,17,82,56,7.2
pevek,69.7,170.27,-34.39,100,0,2.46
hede,60.45,15.49,-8,100,80,0.5
college,64.86,-147.8,-25.28,83,75,1.46
harlingen,26.19,-97.7,8.47,79,1,2.1
ngunguru,-35.62,174.5,20.89,90,0,4.76
bonavista,48.65,-53.11,-0.54,100,64,11.26
dalianwan,39.03,121.69,6,56,0,7
dovers,12.88,-61.18,24,94,75,4.1
puri,-7.54,112.45,31,74,20,2.1
grand-lahou,5.24,-5,23.99,90,0,1.91
ilek,51.53,53.38,-3.72,92,68,4.56
severo-kurilsk,50.68,156.12,-2.14,100,56,5.81
mataura,-46.19,168.86,23.39,60,0,2.71
qaqortoq,60.72,-46.03,-4.07,92,76,0.36
saint-augustin,44.83,-0.61,12,93,92,1.5
saleaula,,,,,,
akureyri,65.68,-18.09,-5.79,85,80,0.91
okha,53.59,142.95,-18.87,100,12,1.51
nikolskoye,59.7,30.79,-7,92,90,4
batagay,67.65,134.64,-33.44,43,56,1.36
maine-soroa,13.21,12.02,14.89,51,0,2.81
marsh harbour,26.54,-77.06,26.19,98,64,5.21
katsuura,33.93,134.5,9.69,70,75,0.5
roslavl,53.95,32.86,-5.79,87,56,3.76
kloulklubed,7.04,134.26,30,70,75,5.1
meulaboh,4.14,96.13,27.31,100,44,1.56
ribeira grande,38.52,-28.7,16.96,99,76,8.06
east london,-33.02,27.91,21,94,75,1
ormara,25.21,64.64,18.86,100,0,6.61
arraial do cabo,-22.97,-42.02,25.11,88,0,8.56
acari,-6.44,-36.64,21.44,86,0,4.86
borodino,55.9,94.89,-8.94,87,76,3.96
portland,45.52,-122.67,8.27,51,90,6.2
sampit,-2.54,112.95,29.04,97,56,2.11
vrangel,42.73,133.08,3.36,100,64,4.76
salalah,17.01,54.1,24,53,20,5.1
lompoc,34.64,-120.46,10.14,96,20,2.1
yanam,16.73,82.22,22,68,90,10.31
cervo,-22.19,-46.24,19.24,95,64,2.11
samusu,,,,,,
vanimo,-2.67,141.3,27.71,100,64,2.96
zlatoustovsk,,,,,,
deputatskiy,69.3,139.9,-33.12,40,48,1.16
atambua,-9.11,124.89,28.09,100,36,5.11
sao miguel do araguaia,-13.28,-50.16,23.84,82,20,0.91
male,50.74,33.7,-4.77,92,68,3.76
norman wells,65.28,-126.83,-31,74,5,1
samarinda,-0.5,117.14,28.11,80,68,1.41
rokytne,51.27,27.23,-4.44,93,92,6.01
atar,20.52,-13.05,13.84,46,92,1.21
cockburn town,21.46,-71.14,26.44,100,24,8.61
ust-tsilma,65.44,52.15,-1.89,90,88,2.96
saint-joseph,43.56,6.97,5,93,20,1.46
macon,32.84,-83.63,8.28,92,20,2.6
bengkulu,,,,,,
alekseyevsk,57.84,108.35,-8.17,65,68,4.06
rabo de peixe,37.8,-25.58,15,72,40,2.6
vila franca do campo,37.72,-25.43,15,72,40,2.6
attawapiskat,,,,,,
san pedro,-33.68,-59.66,16.69,84,0,2.51
babu,23.23,104.89,6.24,91,92,1.46
vao,59.1,26.19,-14.67,93,20,1.66
rungata,,,,,,
sentyabrskiy,,,,,,
qiqihar,47.35,123.91,-8.07,58,0,2.76
umzimvubu,,,,,,
srivardhan,18.03,73.02,23.71,67,8,3.46
port elizabeth,39.31,-74.98,9.72,93,90,8.7
richards bay,-28.77,32.06,21.71,95,0,1.36
barddhaman,23.25,87.85,18.29,61,100,4.46
brae,60.4,-1.35,6,70,88,17.5
banepa,27.63,85.52,11,76,0,0.96
cognac,45.69,-0.33,8.09,93,90,0.5
phuket,7.89,98.4,24.9,78,75,5.7
rio gallegos,-51.62,-69.22,7,75,75,10.3
faanui,-16.48,-151.75,28.71,99,76,5.46
bellingham,48.75,-122.48,8.76,55,90,3.6
klaksvik,62.23,-6.59,5,86,92,17
kamenka,53.19,44.05,-8.62,87,76,3.11
aquiraz,-3.9,-38.39,27,78,75,5.1
cidreira,-30.17,-50.22,22.19,91,64,4.41
muisne,0.61,-80.02,23.34,94,68,1.26
jiuquan,39.73,98.49,-17.62,42,20,1.06
nova olimpia,-14.8,-57.29,24.34,89,12,1.26
onguday,50.75,86.14,-20.19,68,36,0.86
boende,-0.28,20.88,22.36,97,100,1.06
nizhneyansk,,,,,,
samalaeulu,,,,,,
alberton,-26.25,28.13,18,59,68,1.31
kahului,20.89,-156.47,23.11,71,20,7.2
turukhansk,65.8,87.96,-21.67,60,64,3.11
ijaki,,,,,,
clyde river,70.47,-68.59,-19,84,90,8.7
ustye,58.76,27.79,-6.72,100,64,3.31
saint-philippe,45.36,-73.48,-1.44,92,75,2.1
sinjah,,,,,,
finnsnes,69.23,17.98,-7.84,91,0,3.6
kapoeta,,,,,,
lusambo,-4.97,23.44,20.39,100,56,0.91
sur,22.57,59.53,22.69,100,100,4.96
saint george,39.45,22.34,9,93,90,3.1
berbera,,,,,,
panaba,21.28,-88.27,18.56,75,8,2.16
lagoa,37.14,-8.45,11,100,75,1.5
ouallam,14.32,2.08,17.94,35,0,5.01
laguna,27.52,-110.01,13.61,68,88,0.96
talcahuano,-36.72,-73.12,14,76,0,4.6
luanda,-8.83,13.24,25,78,75,1.46
coquimbo,-29.95,-71.34,14,93,0,3.11
dno,57.83,29.97,-5.69,87,76,1.86
hasaki,35.73,140.83,7,52,75,4.1
krasnaya gora,53.01,31.6,-3,100,90,5
khandbari,27.38,87.21,-4.82,37,0,0.71
kappeln,54.66,9.93,-0.77,74,24,8.7
champerico,16.38,-93.6,18,68,75,5.1
fengrun,39.83,118.12,1.19,50,0,2.06
santiago del estero,-27.8,-64.26,23.69,89,56,1.61
grand gaube,-20.01,57.66,28,61,40,7.7
victor rosales,,,,,,
trairi,-3.28,-39.27,26.36,100,12,5.61
julio de castilhos,-29.23,-53.68,23.29,83,80,2.76
temerloh,3.45,102.42,26.14,84,56,1.41
haselunne,52.67,7.48,-1,63,92,4.6
izazi,-7.24,35.72,19,82,40,0.96
mareeba,-16.99,145.42,35,41,75,2.6
sao filipe,14.9,-24.5,24.34,94,100,5.86
tanggu,,,,,,
baruun-urt,46.68,113.28,-12.92,58,24,4.16
muros,42.77,-9.06,10.04,100,75,3.1
half moon bay,37.46,-122.43,13.5,76,75,4.1
cabo san lucas,22.89,-109.91,20.47,68,90,2.16
kirn,49.79,7.46,-3.25,100,40,7.7
nurobod,40.91,69.8,4,80,75,2.1
alyangula,-13.85,136.42,35,53,0,3.1
dubbo,-32.25,148.6,33,16,40,9.3
inuvik,68.36,-133.71,-24,76,20,4.1
sorong,-0.86,131.25,28.14,100,32,3.91
phan rang,,,,,,
catende,-8.67,-35.73,17.86,95,0,2.06
korla,,,,,,
fantino,19.12,-70.3,23,94,20,3.1
manggar,-2.88,108.27,29.86,94,20,1.86
samarai,-10.62,150.67,31.11,97,20,2.61
yeppoon,-23.13,150.74,24,94,75,4.6
santiago,-33.44,-70.65,18,42,0,3.6
nuuk,64.17,-51.74,-6,92,0,3.6
wanning,48.64,13.53,-8,92,0,0.5
south yuba city,39.12,-121.64,8.24,92,90,2.21
kavaratti,10.57,72.64,27.94,100,32,3.31
troitsko-pechorsk,62.71,56.19,-0.67,93,68,2.56
bose,45.46,8.01,-3.13,100,75,0.76
romny,50.74,33.49,-4.77,92,68,3.76
changping,40.22,116.23,8,19,0,9
leirvik,59.78,5.5,4.49,56,0,14.9
lubon,17.03,120.81,26.59,58,0,0.91
nautla,20.22,-96.78,21.99,100,0,4.01
rawson,-43.3,-65.11,25.11,31,0,7.06
jucuaran,13.25,-88.25,27.86,92,64,2.46
miri,10.31,9.75,12.81,64,0,1.51
saint-francois,46.42,3.91,9,93,90,2.6
harper,30.3,-99.24,2.23,75,1,1.5
kruisfontein,-34,24.73,17.11,89,0,2.66
forbes,-33.38,148.01,24.14,60,76,2.66
mnogovershinnyy,53.94,139.92,-18.67,68,48,0.91
coahuayana,18.62,-100.35,14.59,74,0,0.86
natchitoches,31.76,-93.09,8.98,94,90,1.81
walvis bay,-22.95,14.51,17,82,90,3.6
tasiilaq,65.61,-37.64,0,95,80,8.2
gazimurskiy zavod,51.55,118.33,-18.32,61,0,2.26
san patricio,-26.98,-56.83,24.59,96,56,1.11
de aar,-30.65,24.01,8.39,79,0,1.26
duz,,,,,,
ponta delgada,37.73,-25.67,15,72,40,2.6
preston,53.76,-2.71,5.67,81,80,3.1
chake chake,-5.25,39.77,26.99,100,44,2.01
akcakoca,41.09,31.12,0.24,93,68,0.86
vestmanna,62.16,-7.17,5,86,92,17
ugep,5.81,8.08,22.81,77,0,3.46
lillesand,58.25,8.38,2,93,92,5.1
korkino,54.89,61.41,-8,78,75,5
mecca,21.43,39.83,17.86,90,0,1.21
magadan,59.56,150.8,-8.69,100,76,2.51
poum,41.28,20.71,4,93,75,1
arandis,-22.42,14.98,18.54,89,36,0.31
quepos,9.43,-84.16,22,68,0,8.7
marcona,,,,,,
leningradskiy,69.38,178.42,-23.89,100,12,1.21
joshimath,30.57,79.57,-23.77,86,0,0.66
veraval,49.65,0.71,4.34,93,90,2.1
madaoua,14.07,5.96,18.71,37,0,5.51
santa fe,-31.62,-60.7,18.49,72,0,3.56
sarh,9.14,18.39,19,55,0,1.31
gao,16.28,-0.04,13.34,56,0,2.56
upata,8.02,-62.41,22.34,75,0,3.31
banda aceh,5.56,95.32,25.81,97,64,2.06
altos,-5.04,-42.46,24,88,75,2.1
san rafael,-34.61,-68.33,15.89,33,0,2.36
lorengau,-2.02,147.27,29.94,98,20,2.96
gulshat,,,,,,
luderitz,-26.65,15.16,14.69,75,0,6.46
singaraja,-8.11,115.08,26.74,89,56,1.01
espirito santo do pinhal,-22.12,-46.68,21.04,85,56,1.81
zhigansk,66.77,123.37,-21.39,73,68,4.36
bandarbeyla,9.49,50.81,25.84,100,0,10.66
palabuhanratu,,,,,,
caravelas,-17.73,-39.27,26.14,100,0,5.81
thoen,17.61,99.22,26.34,59,0,1.46
synya,65.37,58.04,1.14,96,88,4.11
calama,-22.46,-68.93,11,43,0,2.6
vuktyl,63.86,57.31,-0.32,92,88,2.71
homnabad,17.77,77.13,16.69,70,0,4.66
gizo,31.8,34.94,16.04,72,40,1
tonshayevo,57.74,47.01,-13.07,81,68,1.51
kambove,-10.88,26.6,16.04,97,92,1.41
acapulco,16.86,-99.88,26,83,5,2.36
kencong,-7.78,112.24,27.06,72,92,4.01
amahai,-3.31,129,27.49,100,64,3.41
ondo,7.1,4.83,20.54,90,0,0.91
naze,5.43,7.07,23,100,40,3.86
solnechnyy,50.72,136.64,-19.69,75,64,1.61
mahebourg,-20.41,57.7,28,61,40,7.7
tomatlan,19.93,-105.25,17.94,89,0,0.96
goderich,43.74,-81.71,0.44,87,80,5.36
dawei,14.07,98.19,27.86,55,0,3.36
piracanjuba,-17.3,-49.02,19.64,86,8,1.41
abonnema,4.71,6.79,23,100,40,1.81
jinchang,38.52,102.19,-9.79,49,0,2.06
mys shmidta,,,,,,
luwuk,-0.95,122.79,30.46,78,44,1.21
roald,62.58,6.12,2.27,44,0,8.2
tukrah,,,,,,
barbar,,,,,,
egvekinot,66.32,-179.17,-38.02,67,0,1.51
moses lake,47.13,-119.28,3.06,72,75,4.1
bandundu,-3.32,17.38,23.39,95,68,0.76
yaan,7.38,8.57,19.21,79,0,1.31
nova granada,-20.53,-49.32,24,73,0,1.5
sao felix do xingu,-6.64,-51.99,22.64,98,68,0.91
pessac,44.81,-0.63,11.55,100,92,1
bayburt,40.26,40.22,-11.62,94,64,1.21
ko samui,9.54,99.94,26,94,75,5.1
hokitika,-42.72,170.96,18.86,87,0,2.61
yarada,17.65,83.27,24,47,90,6.2
lavrentiya,65.58,-170.99,-12.54,100,64,7.36
george,6.63,3.35,25,94,20,2.56
zhaozhou,45.71,125.27,-8.67,61,20,2.06
grindavik,63.84,-22.43,4.53,80,75,7.7
salinas,36.67,-121.66,11.1,82,1,2.36
khonuu,,,,,,
ulladulla,-35.36,150.48,23.71,83,20,4.76
zaozerne,51.37,23.94,-4.22,91,92,7.61
ewo,-0.88,14.81,22.14,89,32,2.11
puruaran,19.1,-101.53,10.24,87,0,0.86
keningau,5.33,116.16,32,70,75,3.1
along,28.17,94.8,14.06,44,0,0.91
diego de almagro,-26.39,-70.05,16.49,84,12,0.81
isangel,-19.55,169.27,28,74,75,2.1
nguiu,,,,,,
luganville,-15.51,167.18,28.04,100,0,2.96
aasiaat,68.71,-52.87,-6.02,100,20,2.96
mezocsat,47.82,20.92,-1,100,90,0.5
kadhan,24.48,68.99,11.24,77,0,5.51
mae sai,20.44,99.89,23,83,40,3.1
celestun,20.87,-90.4,22.61,100,92,5.06
peekskill,41.29,-73.92,7.16,62,1,3.1
north bend,43.41,-124.22,8.9,86,90,2.6
yanan,,,,,,
hofn,64.25,-15.21,3.94,100,92,6.46
kysyl-syr,63.9,122.77,-20.94,83,44,2.86
belawan,-0.59,114.46,28.21,83,76,1.21
bonthe,7.53,-12.5,23.64,90,12,1.21
mendi,9.8,35.1,11.99,94,20,1.06
namtsy,62.72,129.66,-31,74,68,1
kolobrzeg,54.18,15.58,-3.62,95,36,3.91
kuching,1.56,110.34,30,74,75,1
karratha,-20.74,116.85,31.36,25,0,6.56
kandrian,-6.21,149.55,27.99,100,56,1.66
codrington,-28.95,153.24,25.66,78,90,6.7
palora,-1.7,-77.97,16.29,100,68,0.91
omsukchan,62.53,155.8,-37.07,0,12,1.11
nurlat,54.43,50.8,-9.12,86,64,3.26
peiting,47.8,10.92,-6.49,85,75,1.5
matamoros,25.87,-97.51,8.16,89,1,1.5
port-gentil,-0.72,8.78,26.44,100,80,3.91
la paz,24.15,-110.32,20,72,90,3.31
mwinilunga,-11.73,24.43,16.59,99,92,0.86
chumikan,54.72,135.31,-14.52,89,64,1.66
istisu,40.95,48.07,-1,86,20,1
asfi,,,,,,
lhuntshi,,,,,,
talnakh,69.49,88.39,-20.12,90,68,4.66
aviles,43.55,-5.92,9,100,0,0.5
juba,57.82,26.93,-6,92,88,3.1
fallon,46.84,-105.12,2.8,51,1,6.7
burica,,,,,,
araceli,10.55,119.99,27.84,98,12,8.86
merauke,-8.49,140.4,24.81,100,92,2.76
port-cartier,50.03,-66.88,-1,63,40,3.6
groningen,53.22,6.57,-1.69,68,75,5.1
boguchany,58.38,97.46,-15.72,62,12,1.46
zyryanovsk,49.74,84.27,-13.94,65,48,0.91
nome,30.04,-94.42,8.18,84,1,2.1
praya,-8.71,116.27,32,62,75,6.2
labuhan,-2.54,115.51,29.1,74,48,1.56
vysoke myto,49.95,16.16,-2.53,79,90,1
hammerfest,70.66,23.68,0.15,86,0,2.6
nantucket,41.28,-70.1,6.01,76,1,7.7
kismayo,,,,,,
taksimo,56.36,114.84,-20.98,74,56,0.91
teahupoo,-17.83,-149.27,29,66,40,5.1
santa cruz de tenerife,28.47,-16.25,18,72,0,4.6
cagayan de tawi-tawi,,,,,,
black river,18.03,-77.85,26,74,20,3.6
svetlyy,,,,,,
wajima,37.4,136.9,8,82,75,4.1
soma,37.8,140.92,7,42,90,4.1
comodoro rivadavia,-45.87,-67.48,21,37,75,12.9
aykhal,65.95,111.51,-25.42,58,48,1.86
monastyrshchina,54.35,31.84,-5.48,89,56,3.66
bac lieu,,,,,,
petropavlovsk-kamchatskiy,53.05,158.65,-9,52,0,4
olonets,60.98,32.97,-12.63,79,68,1.16
adrar,27.87,-0.29,6,56,0,4.1
puro,13.13,123.76,25.83,97,88,2.36
nurota,40.56,65.69,2,93,90,2.1
mabaruma,8.2,-59.78,24.2,95,92,2.21
komsomolskiy,67.55,63.78,0.98,95,92,7.66
makat,47.65,53.35,-2.3,94,92,2.46
russell,-33.01,-68.8,10.58,54,0,2.11
tabou,4.42,-7.36,28.18,99,32,4.56
henties bay,-22.12,14.28,16.31,94,76,2.86
ahipara,-35.17,173.16,22.2,69,44,1.61
dunedin,-45.87,170.5,17.99,84,44,1.86
broken hill,-31.97,141.45,29,28,40,7.7
airai,-8.93,125.41,29.33,59,32,1.21
amapa,15.09,-87.97,20,82,75,2.1
koyilandi,,,,,,
varangaon,21.01,75.91,21.43,61,0,2.16
baykit,61.68,96.39,-19.3,70,32,3.31
emporia,38.4,-96.18,4.4,29,1,1.5
kudahuvadhoo,2.67,72.89,27.73,100,0,2.61
villers-les-nancy,48.67,6.15,0.75,95,90,2.6
zitiste,45.48,20.55,-1,100,90,3.21
dolbeau,,,,,,
porto novo,-23.68,-45.44,23,83,0,0.76
abha,18.22,42.5,12,81,0,1.21
alta floresta,-9.87,-56.08,20.75,99,92,1.16
boa vista,2.82,-60.67,24,69,0,2.6
krasnoyarsk-45,,,,,,
mathathane,-22.27,28.75,26.75,45,0,2.11
suratgarh,29.32,73.9,16.78,78,0,2.11
dingle,11,122.67,29.5,71,24,6.16
sunrise manor,36.21,-115.07,7.85,36,1,1.11
muroran,42.32,140.98,6,100,75,2.6
foam lake,51.65,-103.53,-5.8,81,0,9.36
tilichiki,60.47,166.1,-34.98,51,0,1.26
saldanha,41.42,-6.55,10.43,98,92,3.11
vardo,39.62,-77.74,7.81,96,90,7.7
murgab,37.5,61.97,3,93,0,2.1
sion,46.23,7.36,-8,100,90,0.56
ituni,,,,,,
loding,48.05,12.68,-6,79,75,3.6
mailsi,29.8,72.18,16.58,100,0,2.06
sanok,49.56,22.21,-2,86,75,5.7
padang,-0.92,100.36,30,70,24,1.5
awjilah,29.14,21.3,8,67,20,3.96
puerto leguizamo,-0.19,-74.78,21.98,95,12,0.76
weligama,5.97,80.42,29.38,81,8,6.56
alamosa,37.47,-105.87,-4.6,43,1,3.1
varberg,57.11,12.25,0.99,100,76,3.6
pedernales,0.07,-80.05,22.98,98,76,1.66
pasighat,28.06,95.33,21.43,33,68,0.76
ibra,22.69,58.55,17.95,70,24,1.51
ampere,38.1,-121.24,8.46,100,1,3.71
sola,58.89,5.65,4.57,64,40,10.8
aflu,,,,,,
xinqing,48.28,129.53,-11.5,61,56,2.36
srednekolymsk,67.46,153.71,-44.3,0,12,1.16
turkistan,,,,,,
manjacaze,-24.71,33.88,26.53,71,0,2.06
paranaiba,-19.68,-51.19,23.08,87,0,1.16
san jose,15.79,120.99,28.74,64,0,2.51
panzhihua,26.59,101.72,18.5,56,0,0.91
vostok,46.45,135.83,-7.75,54,0,1.66
flinders,-34.58,150.85,20.63,95,76,0.61
cabedelo,-6.97,-34.84,23,88,0,1.5
gumushane,,,,,,
mogadishu,2.04,45.34,26,74,20,5.7
buraydah,26.33,43.97,11,100,0,2.1
ambilobe,-13.19,49.05,26.6,98,12,1.76
himora,,,,,,
santa rosa,-36.62,-64.29,21.2,42,0,6.91
pandan niog,6.23,120.56,29.08,100,36,5.26
smoky lake,54.11,-112.47,-10.53,78,0,4.56
jinchengjiang,,,,,,
puerto el triunfo,13.27,-88.55,25,50,0,6.7
cheyenne,41.14,-104.82,6.4,29,75,3.6
kaeo,-35.1,173.78,21.93,57,0,4.21
hanmer springs,-42.52,172.83,19.88,68,8,1.26
omboue,-1.57,9.26,26.48,100,76,3.66
aripuana,-9.17,-60.63,23.98,93,48,0.86
tubinskiy,52.89,58.22,-6,85,90,1
natal,-5.81,-35.21,24.48,69,0,3.1
teguise,29.06,-13.56,15,82,0,3.1
borama,,,,,,
